Assay_Type_s	AvgSpotLen_l	BioProject_s	BioSample_s	Center_Name_s	Experiment_s	Instrument_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Platform_s	ReleaseDate_s	Run_s	SRA_Sample_s	SRA_Study_s	Sample_Name_s	gender_s	source_s	source_name_s	strain_s	tissue_s	AssemblyName_s	Consent_s	InsertSize_l	LibraryLayout_s
OTHER	35	PRJNA112823	SAMN00002129	GEO	SRX003174	Illumina Genome Analyzer	other	OTHER	Locusta migratoria solitary sRNA	26.05.14	126	85	Locusta migratoria	ILLUMINA	14.05.09	SRR014352	SRS002311	SRP000633	GSM317269					whole body except midgut		public	0	SINGLE
RNA-Seq	36	PRJNA116139	SAMN00004407	GEO	SRX012254	Illumina Genome Analyzer	size fractionation	TRANSCRIPTOMIC	NIH3T3	26.05.14	144	72	Mus musculus	ILLUMINA	03.11.09	SRR029123	SRS006752	SRP001313	GSM416611			cell line				public	0	SINGLE
RNA-Seq	36	PRJNA116139	SAMN00004408	GEO	SRX012255	Illumina Genome Analyzer	size fractionation	TRANSCRIPTOMIC	HeLa	26.05.14	161	91	Homo sapiens	ILLUMINA	03.11.09	SRR029124	SRS006753	SRP001313	GSM416753			cell line				public	0	SINGLE
RNA-Seq	35	PRJNA120351	SAMN00007205	GEO	SRX015121	Illumina Genome Analyzer II	RT-PCR	TRANSCRIPTOMIC	sRNA_delayed_deep_sequencing	26.05.14	200	92	Mus musculus	ILLUMINA	07.01.10	SRR032476	SRS009509	SRP001587	GSM485234			delayed_implantation		uterus		public	0	SINGLE
RNA-Seq	35	PRJNA120351	SAMN00007206	GEO	SRX015122	Illumina Genome Analyzer II	RT-PCR	TRANSCRIPTOMIC	sRNA_activation_deep_sequencing	26.05.14	211	100	Mus musculus	ILLUMINA	07.01.10	SRR032477	SRS009510	SRP001587	GSM485235			activation		uterus		public	0	SINGLE
RNA-Seq	35	PRJNA119935	SAMN00008667	GEO	SRX016549	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	Whole body_primary results	26.05.14	182	149	Bombyx mori	ILLUMINA	19.02.10	SRR035544	SRS010352	SRP001890	GSM449725			whole silkworm body (whole body)		whole silkworm body		public	0	SINGLE
RNA-Seq	35	PRJNA119935	SAMN00008668	GEO	SRX016550	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	Anterior silkgland_primary results	26.05.14	505	375	Bombyx mori	ILLUMINA	18.02.10	SRR035545	SRS010353	SRP001890	GSM449726			anterior silk glands		anterior silk glands		public	0	SINGLE
RNA-Seq	35	PRJNA119935	SAMN00008669	GEO	SRX016551	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	Posterior silkgland_primary results	26.05.14	512	383	Bombyx mori	ILLUMINA	18.02.10	SRR035546	SRS010354	SRP001890	GSM449727			posterior silk glands				public	0	SINGLE
RNA-Seq	33	PRJNA129787	SAMN00008956	GEO	SRX016814	Illumina Genome Analyzer	size fractionation	TRANSCRIPTOMIC	small RNAs-parthenogenetic	26.05.14	96	67	Acyrthosiphon pisum	ILLUMINA	05.03.10	SRR036085	SRS010586	SRP001987	GSM502519			parthenogenetic colony	LSR1			public	0	SINGLE
RNA-Seq	35	PRJNA124019	SAMN00010839	GEO	SRX018694	Illumina Genome Analyzer	size fractionation	TRANSCRIPTOMIC	GSM494809: Normal PBMC Sample 1	26.05.14	180	137	Homo sapiens	ILLUMINA	14.05.10	SRR039190	SRS042027	SRP002220	GSM494809			Peripheral blood mononuclear cells (PBMC)				public	0	SINGLE
RNA-Seq	33	PRJNA124019	SAMN00010840	GEO	SRX018695	Illumina Genome Analyzer	size fractionation	TRANSCRIPTOMIC	GSM494810: Normal PBMC Sample 2	26.05.14	103	64	Homo sapiens	ILLUMINA	14.05.10	SRR039191	SRS042028	SRP002220	GSM494810			Peripheral blood mononuclear cells (PBMC)				public	0	SINGLE
OTHER	35	PRJNA79621	SAMN00010882	BIGCAS-KL	SRX018737	AB SOLiD System 2.0	other	TRANSCRIPTOMIC	Apis_mellifera_miRNA	26.05.14	1228	1116	Apis mellifera	ABI_SOLID	01.05.10	SRR039230	SRS042070	SRP002230	honeybee Apis mellifera							public	0	SINGLE
OTHER	35	PRJNA124945	SAMN00011097	GEO	SRX018984	Illumina Genome Analyzer II	other	TRANSCRIPTOMIC	GSM519104: mouse_granulocyte_nuclei_smallRNAs	26.05.14	377	218	Mus musculus	ILLUMINA	01.07.10	SRR039634	SRS059042	SRP002277	GSM519104			mouse primary granulocyte nuclei	C57BL/6J			public	0	SINGLE
RNA-Seq	26	PRJNA127103	SAMN00012360	GEO	SRX020037	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539835: mouse pro B cells [09-002]	27.05.14	136	86	Mus musculus	ILLUMINA	07.06.10	SRR042443	SRS066220	SRP002412	GSM539835	male	bone marrow	"Mouse Pro B cells, Bone Marrow, FACS"	C57BL/6J			public	0	SINGLE
RNA-Seq	26	PRJNA127103	SAMN00012361	GEO	SRX020038	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539836: mouse pre B cells [09-002]	27.05.14	130	73	Mus musculus	ILLUMINA	07.06.10	SRR042444	SRS066221	SRP002412	GSM539836	male	bone marrow	"Mouse Pre B cells, Bone Marrow, FACS"	C57BL/6J			public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012362	GEO	SRX020039	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539837: mouse immature B cells [09-002]	27.05.14	141	115	Mus musculus	ILLUMINA	07.06.10	SRR042445	SRS066222	SRP002412	GSM539837	male	spleen	"Mouse Immature B cells, Spleen, FACS"	C57BL/6J			public	0	SINGLE
RNA-Seq	32	PRJNA127103	SAMN00012363	GEO	SRX020040	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539838: mouse mature B cells (spleen) replicate 1 [09-002]	27.05.14	121	108	Mus musculus	ILLUMINA	07.06.10	SRR042446	SRS066223	SRP002412	GSM539838	male	spleen	"Mouse Mature Resting B cells, Spleen, FACS"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012364	GEO	SRX020041	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539839: mouse mature B cells (spleen) replicate 2 [09-002]	27.05.14	331	267	Mus musculus	ILLUMINA	07.06.10	SRR042447	SRS066224	SRP002412	GSM539839	male	spleen	"Mouse Mature resting B cells, Spleen, FACS"	C57BL/6J			public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012365	GEO	SRX020042	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539840: mouse B cells activated in vitro with LPS/IL4 replicate 1 [09-002]	27.05.14	149	117	Mus musculus	ILLUMINA	07.06.10	SRR042448	SRS066225	SRP002412	GSM539840	male	spleen	"Mouse Mature B cells, Spleen, in vitro LPS/IL-4 activated"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012366	GEO	SRX020043	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539841: mouse B cells activated in vitro with LPS/IL4 replicate 2 [09-002]	27.05.14	302	248	Mus musculus	ILLUMINA	07.06.10	SRR042449	SRS066226	SRP002412	GSM539841	male	spleen	"Mouse Mature B cells, Spleen, in vitro LPS/IL-4 activated"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012367	GEO	SRX020044	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539842: mouse B cells activated in vitro with LPS/IL4 replicate 3 [09-002]	27.05.14	310	251	Mus musculus	ILLUMINA	07.06.10	SRR042450	SRS066227	SRP002412	GSM539842	male	spleen	"Mouse Mature B cells, Spleen, in vitro LPS/IL-4 activated"	C57BL/6J			public	0	SINGLE
RNA-Seq	32	PRJNA127103	SAMN00012368	GEO	SRX020045	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539843: mouse B cells activated in vitro with LPS/aIgD-Dextran [09-002]	27.05.14	116	105	Mus musculus	ILLUMINA	07.06.10	SRR042451	SRS066228	SRP002412	GSM539843	male	spleen	"Mouse Mature B cells, Spleen, in vitro LPS/anti-IgD-Dextran activated"	C57BL/6J			public	0	SINGLE
RNA-Seq	32	PRJNA127103	SAMN00012370	GEO	SRX020047	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539845: mouse marginal zone B cells (spleen) [09-002]	27.05.14	88	80	Mus musculus	ILLUMINA	07.06.10	SRR042453	SRS066230	SRP002412	GSM539845	male	spleen	"Mouse Marginal Zone B cells, Spleen, FACS"	C57BL/6J			public	0	SINGLE
RNA-Seq	32	PRJNA127103	SAMN00012371	GEO	SRX020048	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539846: mouse germinal center B cells (lymph node) [09-002]	27.05.14	134	116	Mus musculus	ILLUMINA	07.06.10	SRR042454	SRS066231	SRP002412	GSM539846	male	lymph nodes	"Mouse Germinal Center B cells, Lymph Nodes, FACS"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012372	GEO	SRX020049	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539847: mouse plasma cells [09-002]	27.05.14	286	226	Mus musculus	ILLUMINA	07.06.10	SRR042455	SRS066232	SRP002412	GSM539847	male	lymph nodes	"Mouse Plasma Cells, Lymph Nodes, FACS"	IL-6 transgenic			public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012373	GEO	SRX020050	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539848: mouse hematopoetic progenitor cells [09-002]	27.05.14	134	93	Mus musculus	ILLUMINA	07.06.10	SRR042456	SRS066233	SRP002412	GSM539848	male	bone marrow	"Mouse Hematopoietic Progenitor cells, Bone Marrow, in vitro expanded"	C57BL/6J			public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012374	GEO	SRX020051	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539849: mouse mast cells [09-002]	27.05.14	155	78	Mus musculus	ILLUMINA	07.06.10	SRR042457	SRS066234	SRP002412	GSM539849	male	bone marrow	"Mouse Mast cells, Bone Marrow, in vitro differentiated"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012375	GEO	SRX020052	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539850: mouse basophil cells [09-002]	27.05.14	374	290	Mus musculus	ILLUMINA	07.06.10	SRR042458	SRS066235	SRP002412	GSM539850	male	bone marrow	"Mouse Basophils, Bone Marrow, in vitro differentiated"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012376	GEO	SRX020053	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539851: mouse neutrophil cells replicate 1 [09-002]	27.05.14	268	198	Mus musculus	ILLUMINA	07.06.10	SRR042459	SRS066236	SRP002412	GSM539851	male	peritoneal lavage	"Mouse Neutrophils, Peritoneal Lavage"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012377	GEO	SRX020054	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539852: mouse neutrophil cells replicate 2 [09-002]	27.05.14	89	71	Mus musculus	ILLUMINA	07.06.10	SRR042460	SRS066237	SRP002412	GSM539852	male	peritoneal lavage	"Mouse Neutrophils, Peritoneal Lavage"	C57BL/6J			public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012378	GEO	SRX020055	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539853: mouse dendritic cells [09-002]	27.05.14	108	92	Mus musculus	ILLUMINA	07.06.10	SRR042461	SRS066238	SRP002412	GSM539853	male	bone marrow	"Mouse Macrophage-derived Dendritic Cells, Bone Marrow, in vitro differentiated"	C57BL/6J			public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012379	GEO	SRX020056	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539854: mouse macrophages [09-002]	27.05.14	117	83	Mus musculus	ILLUMINA	07.06.10	SRR042462	SRS066239	SRP002412	GSM539854	male	bone marrow	"Mouse Macrophages, Bone Marrow, in vitro culture"	C57BL/6J			public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012380	GEO	SRX020057	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539855: mouse natural killer cells [09-002]	27.05.14	168	92	Mus musculus	ILLUMINA	07.06.10	SRR042463	SRS066240	SRP002412	GSM539855	male	spleen	"Mouse NK cells, Spleen, in vitro culture"	RAG-/-			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012381	GEO	SRX020058	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539856: mouse CD4+CD8+ T cells (thymus) [09-002]	27.05.14	252	187	Mus musculus	ILLUMINA	07.06.10	SRR042464	SRS066241	SRP002412	GSM539856	male	thymus	"Mouse CD4 and CD8 positive T cells, Thymus, FACS"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012382	GEO	SRX020059	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539857: mouse CD4+ T cells (spleen) [09-002]	27.05.14	256	188	Mus musculus	ILLUMINA	07.06.10	SRR042465	SRS066242	SRP002412	GSM539857	male	spleen	"Mouse Naive CD4 positive T cells, Spleen, FACS"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012383	GEO	SRX020060	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539858: mouse CD8+ T cells (spleen) [09-002]	27.05.14	278	228	Mus musculus	ILLUMINA	07.06.10	SRR042466	SRS066243	SRP002412	GSM539858	male	spleen	"Mouse CD8 positive T cells, Spleen, FACS"	C57BL/6J			public	0	SINGLE
RNA-Seq	26	PRJNA127103	SAMN00012384	GEO	SRX020061	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539859: mouse T cells activated in vitro with Concanavalin A [09-002]	27.05.14	158	135	Mus musculus	ILLUMINA	07.06.10	SRR042467	SRS066244	SRP002412	GSM539859	male	spleen	"Mouse T cells, Spleen, in vitro Concanavalin A activated"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012385	GEO	SRX020062	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539860: mouse Th1 cells [09-002]	27.05.14	305	248	Mus musculus	ILLUMINA	07.06.10	SRR042468	SRS066245	SRP002412	GSM539860	male	lymph nodes/spleen	"Mouse Naive CD4 positive T cells, in vitro Th1 polarized"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012386	GEO	SRX020063	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539861: mouse Th2 cells [09-002]	27.05.14	353	286	Mus musculus	ILLUMINA	07.06.10	SRR042469	SRS066246	SRP002412	GSM539861	male	lymph nodes/spleen	"Mouse Naive CD4 positive T cells, in vitro Th2 polarized"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012387	GEO	SRX020064	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539862: mouse Th17 cells [09-002]	27.05.14	294	211	Mus musculus	ILLUMINA	07.06.10	SRR042470	SRS066247	SRP002412	GSM539862	male	lymph nodes/spleen	"Mouse Naive CD4 positive T cells, in vitro Th17 polarized"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012388	GEO	SRX020065	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539863: mouse TFHS cells [09-002]	27.05.14	794	402	Mus musculus	ILLUMINA	07.06.10	SRR042471	SRS066248	SRP002412	GSM539863	male	spleen	"Mouse Follicular B Helper T cells, Spleen, FACS"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012389	GEO	SRX020066	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539864: mouse iTreg cells [09-002]	27.05.14	284	207	Mus musculus	ILLUMINA	07.06.10	SRR042472	SRS066249	SRP002412	GSM539864	male	lymph nodes/spleen	"Mouse Naive CD4 positive T cells, in vitro iTreg polarized"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012390	GEO	SRX020067	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539865: mouse nTreg cells [09-002]	27.05.14	328	263	Mus musculus	ILLUMINA	07.06.10	SRR042473	SRS066250	SRP002412	GSM539865	male	lymph nodes/spleen	"Mouse Natural Regulatory T cells, Lymph Nodes / Spleen, FACS"	C57BL/6J			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012391	GEO	SRX020068	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539866: mouse embryonic stem cells [09-002]	27.05.14	265	193	Mus musculus	ILLUMINA	07.06.10	SRR042474	SRS066251	SRP002412	GSM539866			"Mouse Embryonic Stem Cells, cultured"	C57BL/6-129			public	0	SINGLE
RNA-Seq	32	PRJNA127103	SAMN00012392	GEO	SRX020069	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539867: mouse embryonic fibroblast cells [09-002]	27.05.14	118	106	Mus musculus	ILLUMINA	07.06.10	SRR042475	SRS066252	SRP002412	GSM539867			"Mouse Embryonic Fibroblasts, cultured"	C57BL/6J			public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012393	GEO	SRX020070	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539868: mouse heart tissue [09-002]	27.05.14	158	118	Mus musculus	ILLUMINA	07.06.10	SRR042476	SRS066253	SRP002412	GSM539868	male		Mouse Heart	C57BL/6J	heart		public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012394	GEO	SRX020071	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539869: mouse brain tissue [09-002]	27.05.14	190	138	Mus musculus	ILLUMINA	07.06.10	SRR042477	SRS066254	SRP002412	GSM539869	male		Mouse Brain	C57BL/6J	brain		public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012395	GEO	SRX020072	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539870: mouse lung tissue [09-002]	27.05.14	198	151	Mus musculus	ILLUMINA	07.06.10	SRR042478	SRS066255	SRP002412	GSM539870	male		Mouse Lung	C57BL/6J	lung		public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012396	GEO	SRX020073	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539871: mouse liver tissue [09-002]	27.05.14	179	135	Mus musculus	ILLUMINA	07.06.10	SRR042479	SRS066256	SRP002412	GSM539871	male		Mouse Liver	C57BL/6J	liver		public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012397	GEO	SRX020074	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539872: mouse kidney tissue [09-002]	27.05.14	194	128	Mus musculus	ILLUMINA	07.06.10	SRR042480	SRS066257	SRP002412	GSM539872	male		Mouse Kidney	C57BL/6J	kidney		public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012398	GEO	SRX020075	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539873: mouse pancreatic tissue [09-002]	27.05.14	128	89	Mus musculus	ILLUMINA	07.06.10	SRR042481	SRS066258	SRP002412	GSM539873	male		Mouse Pancreas	C57BL/6J	pancreas		public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012399	GEO	SRX020076	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539874: mouse skin tissue [09-002]	27.05.14	227	169	Mus musculus	ILLUMINA	07.06.10	SRR042482	SRS066259	SRP002412	GSM539874	male		Mouse Skin	C57BL/6J	skin		public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012400	GEO	SRX020077	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539875: mouse muscle tissue [09-002]	27.05.14	264	171	Mus musculus	ILLUMINA	07.06.10	SRR042483	SRS066260	SRP002412	GSM539875	male		Mouse Skeletal Muscle	C57BL/6J	skeletal muscle		public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012401	GEO	SRX020078	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539876: mouse salivary gland tissue [09-002]	27.05.14	244	180	Mus musculus	ILLUMINA	07.06.10	SRR042484	SRS066261	SRP002412	GSM539876	male		Mouse Salivary Glands	C57BL/6J	salivary glands		public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012402	GEO	SRX020079	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539877: mouse testicular tissue [09-002]	27.05.14	90	69	Mus musculus	ILLUMINA	07.06.10	SRR042485	SRS066262	SRP002412	GSM539877	male		Mouse Testes	C57BL/6J	testes		public	0	SINGLE
RNA-Seq	30	PRJNA127103	SAMN00012403	GEO	SRX020080	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539878: mouse ovaries [09-002]	27.05.14	137	120	Mus musculus	ILLUMINA	07.06.10	SRR042486	SRS066263	SRP002412	GSM539878	female		Mouse Ovaries	C57BL/6J	ovaries		public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012404	GEO	SRX020081	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539879: mouse BclXL B activated with LPS/IL4 [BalbC] [09-002]	27.05.14	201	152	Mus musculus	ILLUMINA	07.06.10	SRR042487	SRS066264	SRP002412	GSM539879	male	spleen	"Mouse Mature B cells, Spleen, in vitro LPS/IL-4 activated"	BclXL transgenic BalbC			public	0	SINGLE
RNA-Seq	36	PRJNA127103	SAMN00012405	GEO	SRX020082	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC	GSM539880: mouse BclXL germinal center B cells [BalbC] [09-002]	27.05.14	402	304	Mus musculus	ILLUMINA	07.06.10	SRR042488	SRS066265	SRP002412	GSM539880	male	lymph nodes	"Mouse Germinal Center B cells, Lympn Nodes, FACS"	BclXL transgenic BalbC			public	0	SINGLE
OTHER	35	PRJNA142489	SAMN00149502	GEO	SRX033305	Illumina Genome Analyzer II	cDNA	TRANSCRIPTOMIC	GSM636844: 2268LI	29.05.14	411	169	Sus scrofa	ILLUMINA	20.12.10	SRR080697	SRS150285	SRP004851	GSM636844			Liver	F2 female from White Duroc × Erhualian	Liver		public	0	SINGLE
OTHER	35	PRJNA142489	SAMN00149503	GEO	SRX033306	Illumina Genome Analyzer II	cDNA	TRANSCRIPTOMIC	GSM636845: 2268AF	29.05.14	298	125	Sus scrofa	ILLUMINA	20.12.10	SRR080698	SRS150286	SRP004851	GSM636845			abdominal fat	F2 female from White Duroc × Erhualian	abdominal fat		public	0	SINGLE
OTHER	35	PRJNA142489	SAMN00149504	GEO	SRX033307	Illumina Genome Analyzer II	cDNA	TRANSCRIPTOMIC	GSM636846: 2268LD	29.05.14	348	131	Sus scrofa	ILLUMINA	20.12.10	SRR080699	SRS150287	SRP004851	GSM636846			longissimus dorsi muscle	F2 female from White Duroc × Erhualian	longissimus dorsi muscle		public	0	SINGLE
OTHER	35	PRJNA142489	SAMN00149505	GEO	SRX033308	Illumina Genome Analyzer II	cDNA	TRANSCRIPTOMIC	GSM636847: 2270LI	29.05.14	375	151	Sus scrofa	ILLUMINA	20.12.10	SRR080700	SRS150288	SRP004851	GSM636847			Liver	F2 female from White Duroc × Erhualian	Liver		public	0	SINGLE
OTHER	35	PRJNA142489	SAMN00149506	GEO	SRX033309	Illumina Genome Analyzer II	cDNA	TRANSCRIPTOMIC	GSM636848: 2270AF	29.05.14	449	193	Sus scrofa	ILLUMINA	20.12.10	SRR080701	SRS150289	SRP004851	GSM636848			abdominal fat	F2 female from White Duroc × Erhualian	abdominal fat		public	0	SINGLE
